SHOT_RESULT,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id
made,21400752,"FEB 06, 2015 - TOR vs. LAC",H,W,16,3,2,527,9.5,0,0.6,3.4,2,"Griffin, Blake",201933,4.0,amir johnson,101161
made,21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12,11,4,366,24.0,0,0.2,1.3,2,"Butler, Jimmy",202710,1.5,michael kidd-gilchrist,203077
missed,21400465,"DEC 30, 2014 - DET @ ORL",A,W,23,6,1,233,14.6,1,1.2,0.5,2,"Frye, Channing",101112,2.0,greg monroe,202328
made,21400528,"JAN 07, 2015 - CHI vs. UTA",H,L,-20,7,4,627,14.2,0,1.1,25.5,3,"Burke, Trey",203504,6.2,aaron brooks,201166
made,21400873,"FEB 28, 2015 - MEM @ MIN",A,W,4,1,1,405,21.0,0,1.0,2.0,2,"Martin, Kevin",2755,6.9,courtney lee,201584
made,21400011,"OCT 29, 2014 - DEN vs. DET",H,W,10,1,1,209,5.6,1,1.2,2.3,2,"Smith, Josh",2746,1.1,jusuf nurkic,203994
missed,21400886,"MAR 02, 2015 - BKN vs. GSW",H,W,2,10,2,583,22.9,0,1.1,2.6,2,"Lee, David",101135,1.4,brook lopez,201572
made,21400445,"DEC 27, 2014 - WAS vs. BOS",H,W,13,1,1,701,18.3,3,2.8,12.9,2,"Sullinger, Jared",203096,4.2,paul pierce,1718
missed,21400840,"FEB 24, 2015 - OKC vs. IND",H,W,13,9,4,390,16.3,0,3.1,23.1,2,"Miles, CJ",101139,3.2,anthony morrow,201627
missed,21400492,"JAN 02, 2015 - UTA vs. ATL",H,L,-6,17,4,120,22.2,0,0.9,24.4,3,"Teague, Jeff",201952,5.5,trey burke,203504
missed,21400886,"MAR 02, 2015 - GSW @ BKN",A,L,-2,13,3,448,3.5,4,7.1,12.2,2,"Anderson, Alan",101187,2.2,klay thompson,202691
made,21400125,"NOV 14, 2014 - CLE @ BOS",A,W,1,26,4,100,14.8,9,9.2,5.5,2,"Sullinger, Jared",203096,5.7,lebron james,2544
missed,21400412,"DEC 22, 2014 - MEM vs. UTA",H,L,-6,7,2,0,0.0,1,1.0,37.9,3,"Hayward, Gordon",202330,6.6,mike conley,201144
missed,21400885,"MAR 02, 2015 - PHI vs. TOR",H,L,-11,2,2,319,17.9,2,3.6,3.5,2,"Vasquez, Greivis",202349,3.1,jakarr sampson,203960
missed,21400261,"DEC 02, 2014 - TOR @ SAC",A,W,8,1,1,689,15.2,0,0.9,25.0,3,"McLemore, Ben",203463,7.0,greivis vasquez,202349
made,21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1,4,1,199,22.0,4,3.8,4.3,2,"Hill, Jordan",201941,2.2,michael kidd-gilchrist,203077
